package,pass,fail
github.com/DataDog/dd-trace-go/v2/appsec,10,0
github.com/DataDog/dd-trace-go/v2/appsec/events,10,0
github.com/DataDog/dd-trace-go/v2/civisibility,10,0
github.com/DataDog/dd-trace-go/v2/contrib,10,0
github.com/DataDog/dd-trace-go/v2/datastreams,10,0
github.com/DataDog/dd-trace-go/v2/datastreams/options,10,0
github.com/DataDog/dd-trace-go/v2/ddtrace,10,0
github.com/DataDog/dd-trace-go/v2/ddtrace/baggage,10,0
github.com/DataDog/dd-trace-go/v2/ddtrace/ext,10,0
github.com/DataDog/dd-trace-go/v2/ddtrace/internal,10,0
github.com/DataDog/dd-trace-go/v2/ddtrace/internal/tracerstats,10,0
github.com/DataDog/dd-trace-go/v2/ddtrace/mocktracer,10,0
github.com/DataDog/dd-trace-go/v2/ddtrace/opentelemetry,10,0
github.com/DataDog/dd-trace-go/v2/ddtrace/tracer,0,10
github.com/DataDog/dd-trace-go/v2/instrumentation,10,0
github.com/DataDog/dd-trace-go/v2/instrumentation/appsec/dyngo,10,0
github.com/DataDog/dd-trace-go/v2/instrumentation/appsec/emitter,10,0
github.com/DataDog/dd-trace-go/v2/instrumentation/appsec/emitter/graphqlsec,10,0
github.com/DataDog/dd-trace-go/v2/instrumentation/appsec/emitter/grpcsec,10,0
github.com/DataDog/dd-trace-go/v2/instrumentation/appsec/emitter/httpsec,10,0
github.com/DataDog/dd-trace-go/v2/instrumentation/appsec/emitter/ossec,10,0
github.com/DataDog/dd-trace-go/v2/instrumentation/appsec/emitter/sqlsec,10,0
github.com/DataDog/dd-trace-go/v2/instrumentation/appsec/emitter/waf/actions,10,0
github.com/DataDog/dd-trace-go/v2/instrumentation/appsec/emitter/waf/addresses,10,0
github.com/DataDog/dd-trace-go/v2/instrumentation/appsec/proxy,10,0
github.com/DataDog/dd-trace-go/v2/instrumentation/appsec/trace,10,0
github.com/DataDog/dd-trace-go/v2/instrumentation/env,10,0
github.com/DataDog/dd-trace-go/v2/instrumentation/errortrace,10,0
github.com/DataDog/dd-trace-go/v2/instrumentation/graphql,10,0
